"","REF_AREA","Reference_area","TIME_PERIOD","health_status_F","health_status_B","health_status_G","Upper secondary or post-secondary non-tertiary education","Tertiary education","Below upper secondary education","Motor vehicle theft","Mortality from transport accidents","Intentional homicides","Social support","Lack of social support","Feeling lonely","Life satisfaction","Satisfaction with personal relationships"
"1","ARG","Argentina",2004,NA,NA,NA,32.082676,16.711861,51.205463,NA,NA,NA,NA,NA,NA,NA,NA
"2","ARG","Argentina",2005,NA,NA,NA,32.370968,17.471054,50.157974,NA,NA,NA,NA,NA,NA,NA,NA
"3","ARG","Argentina",2006,NA,NA,NA,33.696232,17.830963,48.472809,NA,NA,NA,NA,NA,NA,NA,NA
"4","ARG","Argentina",2008,NA,NA,NA,35.221363,18.973812,45.804825,NA,NA,NA,NA,NA,NA,NA,NA
"5","ARG","Argentina",2009,NA,NA,NA,35.687149,19.518599,44.794254,NA,NA,NA,NA,NA,NA,NA,NA
"6","ARG","Argentina",2010,NA,NA,NA,36.519707,20.111586,43.36871,NA,NA,NA,90.156299608,8.6223957723,NA,NA,NA
"7","ARG","Argentina",2011,NA,NA,NA,37.009579,20.237337,42.753086,NA,NA,NA,89.2144180621,9.887693696,NA,NA,NA
"8","ARG","Argentina",2012,NA,NA,NA,38.027462,20.556126,41.416412,NA,NA,NA,89.2144180621,9.887693696,NA,NA,NA
"9","ARG","Argentina",2013,NA,NA,NA,38.308643,21.056189,40.635166,NA,NA,NA,89.2144180621,9.887693696,NA,NA,NA
"10","ARG","Argentina",2014,NA,NA,NA,38.217319,20.534544,41.248135,NA,NA,NA,90.2197378819,9.0184446699,NA,NA,NA
"11","ARG","Argentina",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.2197378819,9.0184446699,NA,NA,NA
"12","ARG","Argentina",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.2197378819,9.0184446699,NA,NA,NA
"13","ARG","Argentina",2017,NA,NA,NA,39.8472023,21.29040909,38.31905365,NA,NA,NA,89.8206332448,9.870592493,NA,NA,NA
"14","ARG","Argentina",2018,NA,NA,NA,40.87559128,21.80264664,36.765522,NA,NA,NA,89.8206332448,9.870592493,NA,NA,NA
"15","ARG","Argentina",2019,NA,NA,NA,41.15095901,22.66526985,35.54158783,NA,NA,NA,89.8206332448,9.870592493,NA,NA,NA
"16","ARG","Argentina",2020,NA,NA,NA,40.19525528,22.26409912,36.9330368,NA,NA,NA,88.4507335783,10.8332761189,NA,NA,NA
"17","ARG","Argentina",2021,NA,NA,NA,41.55836868,24.63621902,33.28401184,NA,NA,NA,88.4507335783,10.8332761189,NA,NA,NA
