"","REF_AREA","Reference_area","TIME_PERIOD","OBS_VALUE_EL","Edu_attainment_lvl","ATTAINMENT_LEV"
"1","ARG","Argentina",2004,32.082676,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"2","ARG","Argentina",2005,32.370968,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"3","ARG","Argentina",2006,33.696232,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"4","ARG","Argentina",2008,35.221363,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"5","ARG","Argentina",2009,35.687149,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"6","ARG","Argentina",2010,36.519707,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"7","ARG","Argentina",2011,37.009579,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"8","ARG","Argentina",2012,38.027462,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"9","ARG","Argentina",2004,16.711861,"Tertiary education","ISCED11A_5T8"
"10","ARG","Argentina",2005,17.471054,"Tertiary education","ISCED11A_5T8"
"11","ARG","Argentina",2006,17.830963,"Tertiary education","ISCED11A_5T8"
"12","ARG","Argentina",2008,18.973812,"Tertiary education","ISCED11A_5T8"
"13","ARG","Argentina",2009,19.518599,"Tertiary education","ISCED11A_5T8"
"14","ARG","Argentina",2010,20.111586,"Tertiary education","ISCED11A_5T8"
"15","ARG","Argentina",2011,20.237337,"Tertiary education","ISCED11A_5T8"
"16","ARG","Argentina",2012,20.556126,"Tertiary education","ISCED11A_5T8"
"17","ARG","Argentina",2004,51.205463,"Below upper secondary education","ISCED11A_0T2"
"18","ARG","Argentina",2005,50.157974,"Below upper secondary education","ISCED11A_0T2"
"19","ARG","Argentina",2006,48.472809,"Below upper secondary education","ISCED11A_0T2"
"20","ARG","Argentina",2008,45.804825,"Below upper secondary education","ISCED11A_0T2"
"21","ARG","Argentina",2009,44.794254,"Below upper secondary education","ISCED11A_0T2"
"22","ARG","Argentina",2010,43.36871,"Below upper secondary education","ISCED11A_0T2"
"23","ARG","Argentina",2011,42.753086,"Below upper secondary education","ISCED11A_0T2"
"24","ARG","Argentina",2012,41.416412,"Below upper secondary education","ISCED11A_0T2"
"25","ARG","Argentina",2013,38.308643,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"26","ARG","Argentina",2013,40.635166,"Below upper secondary education","ISCED11A_0T2"
"27","ARG","Argentina",2013,21.056189,"Tertiary education","ISCED11A_5T8"
"28","ARG","Argentina",2014,20.534544,"Tertiary education","ISCED11A_5T8"
"29","ARG","Argentina",2014,41.248135,"Below upper secondary education","ISCED11A_0T2"
"30","ARG","Argentina",2014,38.217319,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"31","ARG","Argentina",2018,21.80264664,"Tertiary education","ISCED11A_5T8"
"32","ARG","Argentina",2018,36.765522,"Below upper secondary education","ISCED11A_0T2"
"33","ARG","Argentina",2018,40.87559128,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"34","ARG","Argentina",2017,39.8472023,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"35","ARG","Argentina",2017,38.31905365,"Below upper secondary education","ISCED11A_0T2"
"36","ARG","Argentina",2017,21.29040909,"Tertiary education","ISCED11A_5T8"
"37","ARG","Argentina",2019,41.15095901,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"38","ARG","Argentina",2019,35.54158783,"Below upper secondary education","ISCED11A_0T2"
"39","ARG","Argentina",2019,22.66526985,"Tertiary education","ISCED11A_5T8"
"40","ARG","Argentina",2020,22.26409912,"Tertiary education","ISCED11A_5T8"
"41","ARG","Argentina",2020,36.9330368,"Below upper secondary education","ISCED11A_0T2"
"42","ARG","Argentina",2020,40.19525528,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"43","ARG","Argentina",2021,41.55836868,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"44","ARG","Argentina",2021,33.28401184,"Below upper secondary education","ISCED11A_0T2"
"45","ARG","Argentina",2021,24.63621902,"Tertiary education","ISCED11A_5T8"
