"","REF_AREA","Reference_area","TIME_PERIOD","OBS_VALUE_PHS","Health_status","HEALTH_STATUS"
"1","AUS","Australia",2007,11,"Fair (not good, not bad) health","F"
"2","AUS","Australia",2007,4.1,"Bad/very bad health","B"
"3","AUS","Australia",2011,10.7,"Fair (not good, not bad) health","F"
"4","AUS","Australia",2011,4,"Bad/very bad health","B"
"5","AUS","Australia",2014,4.4,"Bad/very bad health","B"
"6","AUS","Australia",2014,10.4,"Fair (not good, not bad) health","F"
"7","AUS","Australia",2017,11,"Fair (not good, not bad) health","F"
"8","AUS","Australia",2017,3.7,"Bad/very bad health","B"
"9","AUS","Australia",2022,3.8,"Bad/very bad health","B"
"10","AUS","Australia",2022,11.3,"Fair (not good, not bad) health","F"
"11","AUS","Australia",2007,84.9,"Good/very good health","G"
"12","AUS","Australia",2011,85.4,"Good/very good health","G"
"13","AUS","Australia",2014,85.2,"Good/very good health","G"
"14","AUS","Australia",2017,85.2,"Good/very good health","G"
"15","AUS","Australia",2022,85,"Good/very good health","G"
"16","AUT","Austria",2007,72.3,"Good/very good health","G"
"17","AUT","Austria",2008,70,"Good/very good health","G"
"18","AUT","Austria",2009,70,"Good/very good health","G"
"19","AUT","Austria",2010,69.5,"Good/very good health","G"
"20","AUT","Austria",2011,68.7,"Good/very good health","G"
"21","AUT","Austria",2012,70,"Good/very good health","G"
"22","AUT","Austria",2013,68.6,"Good/very good health","G"
"23","AUT","Austria",2014,69.5,"Good/very good health","G"
"24","AUT","Austria",2015,69.8,"Good/very good health","G"
"25","AUT","Austria",2016,70.2,"Good/very good health","G"
"26","AUT","Austria",2017,70.3,"Good/very good health","G"
"27","AUT","Austria",2018,71.7,"Good/very good health","G"
"28","AUT","Austria",2019,71.2,"Good/very good health","G"
"29","AUT","Austria",2020,74,"Good/very good health","G"
"30","AUT","Austria",2021,72.2,"Good/very good health","G"
"31","AUT","Austria",2022,70.1,"Good/very good health","G"
"32","AUT","Austria",2023,69.2,"Good/very good health","G"
"33","AUT","Austria",2007,19.3,"Fair (not good, not bad) health","F"
"34","AUT","Austria",2008,21.1,"Fair (not good, not bad) health","F"
"35","AUT","Austria",2009,21.2,"Fair (not good, not bad) health","F"
"36","AUT","Austria",2010,21.3,"Fair (not good, not bad) health","F"
"37","AUT","Austria",2011,21.8,"Fair (not good, not bad) health","F"
"38","AUT","Austria",2012,21,"Fair (not good, not bad) health","F"
"39","AUT","Austria",2013,22.4,"Fair (not good, not bad) health","F"
"40","AUT","Austria",2014,21.6,"Fair (not good, not bad) health","F"
"41","AUT","Austria",2015,21.4,"Fair (not good, not bad) health","F"
"42","AUT","Austria",2016,21.7,"Fair (not good, not bad) health","F"
"43","AUT","Austria",2017,21.7,"Fair (not good, not bad) health","F"
"44","AUT","Austria",2018,20.2,"Fair (not good, not bad) health","F"
"45","AUT","Austria",2019,21,"Fair (not good, not bad) health","F"
"46","AUT","Austria",2020,18.5,"Fair (not good, not bad) health","F"
"47","AUT","Austria",2021,20.4,"Fair (not good, not bad) health","F"
"48","AUT","Austria",2022,21.4,"Fair (not good, not bad) health","F"
"49","AUT","Austria",2023,22.6,"Fair (not good, not bad) health","F"
