"","REF_AREA","Reference_area","TIME_PERIOD","OBS_VALUE_SAFETY","Measure_safety","MEASURE_SAFETY"
"1","AUS","Australia",2010,248.8,"Motor vehicle theft","VEH_THEFT"
"2","AUS","Australia",2011,251,"Motor vehicle theft","VEH_THEFT"
"3","AUS","Australia",2012,257.6,"Motor vehicle theft","VEH_THEFT"
"4","AUS","Australia",2013,227.1,"Motor vehicle theft","VEH_THEFT"
"5","AUS","Australia",2014,213.7,"Motor vehicle theft","VEH_THEFT"
"6","AUS","Australia",2015,216.3,"Motor vehicle theft","VEH_THEFT"
"7","AUS","Australia",2016,231.7,"Motor vehicle theft","VEH_THEFT"
"8","AUS","Australia",2017,213.2,"Motor vehicle theft","VEH_THEFT"
"9","AUS","Australia",2018,213.8,"Motor vehicle theft","VEH_THEFT"
"10","AUS","Australia",2019,228.8,"Motor vehicle theft","VEH_THEFT"
"11","AUS","Australia",2020,187.5,"Motor vehicle theft","VEH_THEFT"
"12","AUS","Australia",2021,193.6,"Motor vehicle theft","VEH_THEFT"
"13","AUS","Australia",2011,7,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"14","AUS","Australia",2010,7,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"15","AUS","Australia",2012,7,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"16","AUS","Australia",2013,6,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"17","AUS","Australia",2014,6,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"18","AUS","Australia",2015,6,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"19","AUS","Australia",2016,6,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"20","AUS","Australia",2017,6,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"21","AUS","Australia",2018,5,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"22","AUS","Australia",2019,6,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"23","AUS","Australia",2020,5,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"24","AUS","Australia",2021,5,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"25","AUS","Australia",2010,1.1,"Intentional homicides","HOMIC"
"26","AUS","Australia",2011,1.1,"Intentional homicides","HOMIC"
"27","AUS","Australia",2012,1.1,"Intentional homicides","HOMIC"
"28","AUS","Australia",2013,1.1,"Intentional homicides","HOMIC"
"29","AUS","Australia",2014,1.1,"Intentional homicides","HOMIC"
"30","AUS","Australia",2015,1,"Intentional homicides","HOMIC"
"31","AUS","Australia",2016,0.9,"Intentional homicides","HOMIC"
"32","AUS","Australia",2017,0.8,"Intentional homicides","HOMIC"
"33","AUS","Australia",2018,0.9,"Intentional homicides","HOMIC"
"34","AUS","Australia",2019,0.9,"Intentional homicides","HOMIC"
"35","AUS","Australia",2020,0.9,"Intentional homicides","HOMIC"
"36","AUS","Australia",2021,0.7,"Intentional homicides","HOMIC"
"37","AUT","Austria",2010,61.6,"Motor vehicle theft","VEH_THEFT"
"38","AUT","Austria",2011,61.5,"Motor vehicle theft","VEH_THEFT"
"39","AUT","Austria",2012,45.1,"Motor vehicle theft","VEH_THEFT"
"40","AUT","Austria",2011,6.71,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"41","AUT","Austria",2012,7.07,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"42","AUT","Austria",2013,5.91,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"43","AUT","Austria",2014,5.8,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"44","AUT","Austria",2015,5.94,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"45","AUT","Austria",2016,5.37,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"46","AUT","Austria",2017,5.19,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"47","AUT","Austria",2018,4.98,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"48","AUT","Austria",2010,7,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"49","AUT","Austria",2019,5,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"50","AUT","Austria",2020,4,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"51","AUT","Austria",2021,4,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"52","AUT","Austria",2022,4,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"53","AUT","Austria",2011,1,"Intentional homicides","HOMIC"
"54","AUT","Austria",2013,0.7,"Intentional homicides","HOMIC"
"55","AUT","Austria",2014,0.5,"Intentional homicides","HOMIC"
"56","AUT","Austria",2016,0.6,"Intentional homicides","HOMIC"
"57","AUT","Austria",2017,0.7,"Intentional homicides","HOMIC"
"58","AUT","Austria",2018,0.8,"Intentional homicides","HOMIC"
"59","AUT","Austria",2019,0.8,"Intentional homicides","HOMIC"
"60","AUT","Austria",2020,0.6,"Intentional homicides","HOMIC"
"61","AUT","Austria",2021,0.7,"Intentional homicides","HOMIC"
"62","AUT","Austria",2022,0.7,"Intentional homicides","HOMIC"
"63","AUT","Austria",2023,0.8,"Intentional homicides","HOMIC"
"64","AUT","Austria",2013,11.5,"Motor vehicle theft","VEH_THEFT"
"65","AUT","Austria",2014,12.4,"Motor vehicle theft","VEH_THEFT"
"66","AUT","Austria",2015,19.5,"Motor vehicle theft","VEH_THEFT"
"67","AUT","Austria",2016,20.4,"Motor vehicle theft","VEH_THEFT"
"68","AUT","Austria",2017,17.8,"Motor vehicle theft","VEH_THEFT"
"69","AUT","Austria",2018,17.9,"Motor vehicle theft","VEH_THEFT"
"70","AUT","Austria",2019,18.3,"Motor vehicle theft","VEH_THEFT"
"71","AUT","Austria",2020,14.4,"Motor vehicle theft","VEH_THEFT"
"72","AUT","Austria",2021,13.5,"Motor vehicle theft","VEH_THEFT"
"73","AUT","Austria",2022,16.5,"Motor vehicle theft","VEH_THEFT"
"74","AUT","Austria",2023,16.3,"Motor vehicle theft","VEH_THEFT"
"75","AUT","Austria",2010,0.7,"Intentional homicides","HOMIC"
"76","AUT","Austria",2012,1,"Intentional homicides","HOMIC"
"77","AUT","Austria",2015,0.5,"Intentional homicides","HOMIC"
"78","BEL","Belgium",2010,8.3,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"79","BEL","Belgium",2011,8.47,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"80","BEL","Belgium",2012,7.46,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"81","BEL","Belgium",2013,7.12,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"82","BEL","Belgium",2014,6.65,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"83","BEL","Belgium",2015,6.55,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"84","BEL","Belgium",2016,5.98,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"85","BEL","Belgium",2017,5.47,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"86","BEL","Belgium",2018,4.87,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"87","BEL","Belgium",2019,5,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"88","BEL","Belgium",2020,4,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"89","BEL","Belgium",2021,5,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"90","BEL","Belgium",2022,5,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"91","BEL","Belgium",2023,4.3,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"92","BEL","Belgium",2020,1.3,"Intentional homicides","HOMIC"
"93","BEL","Belgium",2021,1.4,"Intentional homicides","HOMIC"
"94","BEL","Belgium",2022,1.6,"Intentional homicides","HOMIC"
"95","BEL","Belgium",2023,1.4,"Intentional homicides","HOMIC"
"96","BEL","Belgium",2010,155.3,"Motor vehicle theft","VEH_THEFT"
"97","BEL","Belgium",2011,147.1,"Motor vehicle theft","VEH_THEFT"
"98","BEL","Belgium",2012,129.7,"Motor vehicle theft","VEH_THEFT"
"99","BEL","Belgium",2013,116.2,"Motor vehicle theft","VEH_THEFT"
"100","BEL","Belgium",2014,118.3,"Motor vehicle theft","VEH_THEFT"
"101","BEL","Belgium",2015,110.1,"Motor vehicle theft","VEH_THEFT"
"102","BEL","Belgium",2016,98.1,"Motor vehicle theft","VEH_THEFT"
"103","BEL","Belgium",2017,92,"Motor vehicle theft","VEH_THEFT"
"104","BEL","Belgium",2018,79.4,"Motor vehicle theft","VEH_THEFT"
"105","BEL","Belgium",2019,75.4,"Motor vehicle theft","VEH_THEFT"
"106","BEL","Belgium",2020,57,"Motor vehicle theft","VEH_THEFT"
"107","BEL","Belgium",2021,57.3,"Motor vehicle theft","VEH_THEFT"
"108","BEL","Belgium",2022,66.7,"Motor vehicle theft","VEH_THEFT"
"109","BEL","Belgium",2023,69,"Motor vehicle theft","VEH_THEFT"
"110","BEL","Belgium",2010,1.7,"Intentional homicides","HOMIC"
"111","BEL","Belgium",2011,1.9,"Intentional homicides","HOMIC"
"112","BEL","Belgium",2012,1.9,"Intentional homicides","HOMIC"
"113","BEL","Belgium",2013,1.8,"Intentional homicides","HOMIC"
"114","BEL","Belgium",2014,1.9,"Intentional homicides","HOMIC"
"115","BEL","Belgium",2015,2,"Intentional homicides","HOMIC"
"116","BEL","Belgium",2016,1.5,"Intentional homicides","HOMIC"
"117","BEL","Belgium",2017,1.7,"Intentional homicides","HOMIC"
"118","BEL","Belgium",2018,1.7,"Intentional homicides","HOMIC"
"119","BEL","Belgium",2019,1.3,"Intentional homicides","HOMIC"
"120","BGR","Bulgaria",2010,10.1,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"121","BGR","Bulgaria",2011,8.72,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"122","BGR","Bulgaria",2012,8.05,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"123","BGR","Bulgaria",2013,8.38,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"124","BGR","Bulgaria",2014,9.16,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"125","BGR","Bulgaria",2015,9.61,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"126","BGR","Bulgaria",2016,9.57,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"127","BGR","Bulgaria",2017,8.41,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"128","BGR","Bulgaria",2018,8.13,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"129","BGR","Bulgaria",2010,1.9,"Intentional homicides","HOMIC"
"130","BGR","Bulgaria",2011,1.6,"Intentional homicides","HOMIC"
"131","BGR","Bulgaria",2012,1.8,"Intentional homicides","HOMIC"
"132","BGR","Bulgaria",2013,1.5,"Intentional homicides","HOMIC"
"133","BGR","Bulgaria",2014,1.6,"Intentional homicides","HOMIC"
"134","BGR","Bulgaria",2015,1.8,"Intentional homicides","HOMIC"
"135","BGR","Bulgaria",2016,1.2,"Intentional homicides","HOMIC"
"136","BGR","Bulgaria",2017,1.4,"Intentional homicides","HOMIC"
"137","BGR","Bulgaria",2018,1.4,"Intentional homicides","HOMIC"
"138","BGR","Bulgaria",2019,1.2,"Intentional homicides","HOMIC"
"139","BGR","Bulgaria",2020,1,"Intentional homicides","HOMIC"
"140","BGR","Bulgaria",2021,1.4,"Intentional homicides","HOMIC"
"141","BGR","Bulgaria",2022,1.2,"Intentional homicides","HOMIC"
"142","BGR","Bulgaria",2023,1.1,"Intentional homicides","HOMIC"
"143","BGR","Bulgaria",2010,53.2,"Motor vehicle theft","VEH_THEFT"
"144","BGR","Bulgaria",2011,44,"Motor vehicle theft","VEH_THEFT"
"145","BGR","Bulgaria",2012,42.4,"Motor vehicle theft","VEH_THEFT"
"146","BGR","Bulgaria",2013,50,"Motor vehicle theft","VEH_THEFT"
"147","BGR","Bulgaria",2014,52.6,"Motor vehicle theft","VEH_THEFT"
"148","BGR","Bulgaria",2018,4.9,"Motor vehicle theft","VEH_THEFT"
"149","BGR","Bulgaria",2019,4.7,"Motor vehicle theft","VEH_THEFT"
"150","BGR","Bulgaria",2020,6.4,"Motor vehicle theft","VEH_THEFT"
"151","BGR","Bulgaria",2021,4.7,"Motor vehicle theft","VEH_THEFT"
"152","BGR","Bulgaria",2022,5.6,"Motor vehicle theft","VEH_THEFT"
"153","BGR","Bulgaria",2023,4.9,"Motor vehicle theft","VEH_THEFT"
"154","CAN","Canada",2010,272,"Motor vehicle theft","VEH_THEFT"
"155","CAN","Canada",2011,240.1,"Motor vehicle theft","VEH_THEFT"
"156","CAN","Canada",2012,224.9,"Motor vehicle theft","VEH_THEFT"
"157","CAN","Canada",2013,206.7,"Motor vehicle theft","VEH_THEFT"
"158","CAN","Canada",2014,208.9,"Motor vehicle theft","VEH_THEFT"
"159","CAN","Canada",2015,220.7,"Motor vehicle theft","VEH_THEFT"
"160","CAN","Canada",2016,218.9,"Motor vehicle theft","VEH_THEFT"
"161","CAN","Canada",2017,232.9,"Motor vehicle theft","VEH_THEFT"
"162","CAN","Canada",2018,232.3,"Motor vehicle theft","VEH_THEFT"
"163","CAN","Canada",2019,231.4,"Motor vehicle theft","VEH_THEFT"
"164","CAN","Canada",2020,205.5,"Motor vehicle theft","VEH_THEFT"
"165","CAN","Canada",2021,217.8,"Motor vehicle theft","VEH_THEFT"
"166","CAN","Canada",2013,7,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"167","CAN","Canada",2010,8,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"168","CAN","Canada",2011,7,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"169","CAN","Canada",2012,8,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"170","CAN","Canada",2014,6,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"171","CAN","Canada",2015,6,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"172","CAN","Canada",2016,6,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"173","CAN","Canada",2017,6,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"174","CAN","Canada",2018,6,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"175","CAN","Canada",2019,6,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"176","CAN","Canada",2020,5,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"177","CAN","Canada",2010,1.6,"Intentional homicides","HOMIC"
"178","CAN","Canada",2011,1.8,"Intentional homicides","HOMIC"
"179","CAN","Canada",2012,1.6,"Intentional homicides","HOMIC"
"180","CAN","Canada",2013,1.5,"Intentional homicides","HOMIC"
"181","CAN","Canada",2014,1.5,"Intentional homicides","HOMIC"
"182","CAN","Canada",2015,1.7,"Intentional homicides","HOMIC"
"183","CAN","Canada",2016,1.7,"Intentional homicides","HOMIC"
"184","CAN","Canada",2017,1.8,"Intentional homicides","HOMIC"
"185","CAN","Canada",2018,1.8,"Intentional homicides","HOMIC"
"186","CAN","Canada",2019,1.8,"Intentional homicides","HOMIC"
"187","CAN","Canada",2020,2,"Intentional homicides","HOMIC"
"188","CAN","Canada",2021,2.1,"Intentional homicides","HOMIC"
"189","CHL","Chile",2010,180.2,"Motor vehicle theft","VEH_THEFT"
"190","CHL","Chile",2011,201.3,"Motor vehicle theft","VEH_THEFT"
"191","CHL","Chile",2012,189.3,"Motor vehicle theft","VEH_THEFT"
"192","CHL","Chile",2013,177.3,"Motor vehicle theft","VEH_THEFT"
"193","CHL","Chile",2014,184.7,"Motor vehicle theft","VEH_THEFT"
"194","CHL","Chile",2015,177.8,"Motor vehicle theft","VEH_THEFT"
"195","CHL","Chile",2016,163.9,"Motor vehicle theft","VEH_THEFT"
"196","CHL","Chile",2017,160.5,"Motor vehicle theft","VEH_THEFT"
"197","CHL","Chile",2018,129.5,"Motor vehicle theft","VEH_THEFT"
"198","CHL","Chile",2019,121.3,"Motor vehicle theft","VEH_THEFT"
"199","CHL","Chile",2020,105.2,"Motor vehicle theft","VEH_THEFT"
"200","CHL","Chile",2021,120.3,"Motor vehicle theft","VEH_THEFT"
"201","CHL","Chile",2022,168.1,"Motor vehicle theft","VEH_THEFT"
"202","CHL","Chile",2010,13,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"203","CHL","Chile",2011,13,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"204","CHL","Chile",2012,12,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"205","CHL","Chile",2013,13,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"206","CHL","Chile",2014,12,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"207","CHL","Chile",2015,11,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"208","CHL","Chile",2016,12,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"209","CHL","Chile",2017,10,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"210","CHL","Chile",2018,10,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"211","CHL","Chile",2019,11,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"212","CHL","Chile",2020,9,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"213","CHL","Chile",2021,10,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"214","CHL","Chile",2022,9,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"215","CHL","Chile",2010,3.2,"Intentional homicides","HOMIC"
"216","CHL","Chile",2011,3.7,"Intentional homicides","HOMIC"
"217","CHL","Chile",2012,3.2,"Intentional homicides","HOMIC"
"218","CHL","Chile",2013,3.1,"Intentional homicides","HOMIC"
"219","CHL","Chile",2014,3.6,"Intentional homicides","HOMIC"
"220","CHL","Chile",2015,3.4,"Intentional homicides","HOMIC"
"221","CHL","Chile",2016,3.1,"Intentional homicides","HOMIC"
"222","CHL","Chile",2017,3.3,"Intentional homicides","HOMIC"
"223","CHL","Chile",2018,3.5,"Intentional homicides","HOMIC"
"224","CHL","Chile",2019,3.3,"Intentional homicides","HOMIC"
"225","CHL","Chile",2020,4.2,"Intentional homicides","HOMIC"
"226","CHL","Chile",2021,3.3,"Intentional homicides","HOMIC"
"227","CHL","Chile",2022,4.5,"Intentional homicides","HOMIC"
"228","COL","Colombia",2010,48.5,"Motor vehicle theft","VEH_THEFT"
"229","COL","Colombia",2011,68.7,"Motor vehicle theft","VEH_THEFT"
"230","COL","Colombia",2012,70.6,"Motor vehicle theft","VEH_THEFT"
"231","COL","Colombia",2013,70.5,"Motor vehicle theft","VEH_THEFT"
"232","COL","Colombia",2014,68.9,"Motor vehicle theft","VEH_THEFT"
"233","COL","Colombia",2015,75.5,"Motor vehicle theft","VEH_THEFT"
"234","COL","Colombia",2016,84,"Motor vehicle theft","VEH_THEFT"
"235","COL","Colombia",2017,87.8,"Motor vehicle theft","VEH_THEFT"
"236","COL","Colombia",2018,88.1,"Motor vehicle theft","VEH_THEFT"
"237","COL","Colombia",2019,93.4,"Motor vehicle theft","VEH_THEFT"
"238","COL","Colombia",2020,72.1,"Motor vehicle theft","VEH_THEFT"
"239","COL","Colombia",2021,87.2,"Motor vehicle theft","VEH_THEFT"
"240","COL","Colombia",2022,95.9,"Motor vehicle theft","VEH_THEFT"
"241","COL","Colombia",2023,95.6,"Motor vehicle theft","VEH_THEFT"
"242","COL","Colombia",2010,13,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"243","COL","Colombia",2011,13,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"244","COL","Colombia",2012,13,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"245","COL","Colombia",2013,14,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"246","COL","Colombia",2014,14,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"247","COL","Colombia",2015,15,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"248","COL","Colombia",2016,15,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"249","COL","Colombia",2017,14,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"250","COL","Colombia",2018,15,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"251","COL","Colombia",2019,14,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"252","COL","Colombia",2020,11,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"253","COL","Colombia",2021,15,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"254","COL","Colombia",2010,35.1,"Intentional homicides","HOMIC"
"255","COL","Colombia",2011,36.2,"Intentional homicides","HOMIC"
"256","COL","Colombia",2012,36.5,"Intentional homicides","HOMIC"
"257","COL","Colombia",2013,33.9,"Intentional homicides","HOMIC"
"258","COL","Colombia",2014,29.1,"Intentional homicides","HOMIC"
"259","COL","Colombia",2015,27.6,"Intentional homicides","HOMIC"
"260","COL","Colombia",2016,26.5,"Intentional homicides","HOMIC"
"261","COL","Colombia",2017,25.8,"Intentional homicides","HOMIC"
"262","COL","Colombia",2018,26.8,"Intentional homicides","HOMIC"
"263","COL","Colombia",2019,26.2,"Intentional homicides","HOMIC"
"264","COL","Colombia",2020,24.3,"Intentional homicides","HOMIC"
"265","COL","Colombia",2021,25.5,"Intentional homicides","HOMIC"
"266","CRI","Costa Rica",2020,60.9,"Motor vehicle theft","VEH_THEFT"
"267","CRI","Costa Rica",2010,6.6048,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"268","CRI","Costa Rica",2011,3.6168,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"269","CRI","Costa Rica",2012,4.2708,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"270","CRI","Costa Rica",2013,3.7158,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"271","CRI","Costa Rica",2014,3.9397,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"272","CRI","Costa Rica",2015,3.8026,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"273","CRI","Costa Rica",2016,4.6901,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"274","CRI","Costa Rica",2017,6.4957,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"275","CRI","Costa Rica",2018,6.523,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"276","CRI","Costa Rica",2019,6.5042,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"277","CRI","Costa Rica",2020,4.7701,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"278","CRI","Costa Rica",2021,4.02,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"279","CRI","Costa Rica",2021,39.5,"Motor vehicle theft","VEH_THEFT"
"280","CRI","Costa Rica",2010,11.6,"Intentional homicides","HOMIC"
"281","CRI","Costa Rica",2011,10.3,"Intentional homicides","HOMIC"
"282","CRI","Costa Rica",2012,8.7,"Intentional homicides","HOMIC"
"283","CRI","Costa Rica",2013,8.7,"Intentional homicides","HOMIC"
"284","CRI","Costa Rica",2014,10,"Intentional homicides","HOMIC"
"285","CRI","Costa Rica",2015,11.5,"Intentional homicides","HOMIC"
"286","CRI","Costa Rica",2016,11.8,"Intentional homicides","HOMIC"
