"","REF_AREA","Reference_area","TIME_PERIOD","OBS_VALUE_SAT","Measure_sat","MEASURE_SAT"
"1","AUS","Australia",2020,7.2,"Life satisfaction","11_1"
"2","AUS","Australia",2019,7.5,"Life satisfaction","11_1"
"3","AUT","Austria",2022,7.8826444055,"Life satisfaction","11_1"
"4","AUT","Austria",2021,7.9919458767,"Life satisfaction","11_1"
"5","AUT","Austria",2018,8.0024162941,"Life satisfaction","11_1"
"6","AUT","Austria",2013,7.8100056064,"Life satisfaction","11_1"
"7","AUT","Austria",2022,8.5634548772,"Satisfaction with personal relationships","7_3"
"8","AUT","Austria",2018,8.5834914586,"Satisfaction with personal relationships","7_3"
"9","AUT","Austria",2013,8.4886009036,"Satisfaction with personal relationships","7_3"
"10","AUT","Austria",2023,7.696147497,"Life satisfaction","11_1"
"11","BEL","Belgium",2022,7.5772294915,"Life satisfaction","11_1"
"12","BEL","Belgium",2021,7.5479577814,"Life satisfaction","11_1"
"13","BEL","Belgium",2018,7.5800243702,"Life satisfaction","11_1"
"14","BEL","Belgium",2013,7.5289745505,"Life satisfaction","11_1"
"15","BEL","Belgium",2022,7.9374506945,"Satisfaction with personal relationships","7_3"
"16","BEL","Belgium",2018,7.9174943832,"Satisfaction with personal relationships","7_3"
"17","BEL","Belgium",2023,7.681908677,"Life satisfaction","11_1"
"18","BEL","Belgium",2013,7.693840164,"Satisfaction with personal relationships","7_3"
"19","BGR","Bulgaria",2023,5.8810288066,"Life satisfaction","11_1"
"20","BGR","Bulgaria",2022,5.5609930211,"Life satisfaction","11_1"
"21","BGR","Bulgaria",2021,5.6635483578,"Life satisfaction","11_1"
"22","BGR","Bulgaria",2018,5.3559495373,"Life satisfaction","11_1"
"23","BGR","Bulgaria",2013,4.7706767102,"Life satisfaction","11_1"
"24","BGR","Bulgaria",2022,6.0258107115,"Satisfaction with personal relationships","7_3"
"25","BGR","Bulgaria",2018,6.5620472478,"Satisfaction with personal relationships","7_3"
"26","BGR","Bulgaria",2013,5.6608785406,"Satisfaction with personal relationships","7_3"
"27","CAN","Canada",2023,7.4,"Life satisfaction","11_1"
"28","CAN","Canada",2015,8.1,"Life satisfaction","11_1"
"29","CAN","Canada",2022,7.5,"Life satisfaction","11_1"
"30","CAN","Canada",2021,7.9,"Life satisfaction","11_1"
"31","CAN","Canada",2020,8,"Life satisfaction","11_1"
"32","CAN","Canada",2019,8.1,"Life satisfaction","11_1"
"33","CAN","Canada",2018,8.1,"Life satisfaction","11_1"
"34","CAN","Canada",2017,8.1,"Life satisfaction","11_1"
"35","CAN","Canada",2016,8.1,"Life satisfaction","11_1"
"36","CAN","Canada",2014,8,"Life satisfaction","11_1"
"37","CAN","Canada",2013,8,"Life satisfaction","11_1"
"38","CAN","Canada",2012,8,"Life satisfaction","11_1"
"39","CAN","Canada",2011,8,"Life satisfaction","11_1"
"40","CAN","Canada",2010,8,"Life satisfaction","11_1"
"41","CAN","Canada",2021,7.7,"Satisfaction with personal relationships","7_3"
"42","CAN","Canada",2016,7.9,"Satisfaction with personal relationships","7_3"
