"","REF_AREA","Reference_area","TIME_PERIOD","health_status_F","health_status_B","health_status_G","upper_secondary_education","tertiary_education","below_upper_secondary_education","motor_vehicle_theft","mortality_from_transport_accidents","intentional_homicides","social_support","lack_of_social_support","feeling_lonely","life_satisfaction","satisfaction_w_relationships"
"1","AUT","Austria",2010,21.3,9.3,69.5,54.608784,27.743721,17.647495,61.6,7,0.7,91.452772301,7.8462921317,3.4708502358,7.8100056064,8.4886009036
"2","AUT","Austria",2011,21.8,9.5,68.7,54.407017,27.956152,17.636829,61.5,6.71,1,93.9589030272,5.3236208192,3.4708502358,7.8100056064,8.4886009036
"3","AUT","Austria",2012,21,9,70,54.176529,28.739943,17.08353,45.1,7.07,1,93.9589030272,5.3236208192,3.4708502358,7.8100056064,8.4886009036
"4","AUT","Austria",2013,22.4,9.1,68.6,53.233154,29.738844,17.028002,11.5,5.91,0.7,93.9589030272,5.3236208192,3.4708502358,7.8100056064,8.4886009036
"5","AUT","Austria",2014,21.6,8.9,69.5,53.951103,29.904896,16.143999,12.4,5.8,0.5,91.5153156883,8.1955118283,3.4708502358,8.0024162941,8.5834914586
"6","AUT","Austria",2015,21.4,8.8,69.8,54.097969,30.550726,15.351305,19.5,5.94,0.5,91.5153156883,8.1955118283,3.4708502358,8.0024162941,8.5834914586
"7","AUT","Austria",2016,21.7,8.1,70.2,53.144444,31.383963,15.471591,20.4,5.37,0.6,91.5153156883,8.1955118283,3.4708502358,8.0024162941,8.5834914586
"8","AUT","Austria",2017,21.7,8,70.3,52.568035,32.39439,15.037577,17.8,5.19,0.7,92.1018243735,7.2085140485,3.4708502358,8.0024162941,8.5834914586
"9","AUT","Austria",2018,20.2,8.1,71.7,52.586048,32.711426,14.702526,17.9,4.98,0.8,92.1018243735,7.2085140485,3.4708502358,8.0024162941,8.5834914586
"10","AUT","Austria",2019,21,7.8,71.2,51.790359,33.773777,14.435863,18.3,5,0.8,92.1018243735,7.2085140485,4.2547728909,7.9919458767,8.5634548772
"11","AUT","Austria",2020,18.5,7.5,74,51.452774,34.205894,14.341329,14.4,4,0.6,88.6930648755,11.1836868039,4.2547728909,7.9919458767,8.5634548772
"12","AUT","Austria",2021,20.4,7.4,72.2,51.335136,34.604504,14.060361,13.5,4,0.7,88.6930648755,11.1836868039,4.2547728909,7.9919458767,8.5634548772
"13","AUT","Austria",2022,21.4,8.5,70.1,50.394012,35.553291,14.052697,16.5,4,0.7,88.6930648755,11.1836868039,4.2547728909,7.8826444055,8.5634548772
"14","BEL","Belgium",2014,15.8,9.2,75,36.695625,36.855022,26.44935,118.3,6.65,1.9,91.7445894772,8.0603379761,6.6599736463,7.5800243702,7.9174943832
"15","BEL","Belgium",2015,16,9.4,74.6,37.819675,36.857422,25.322903,110.1,6.55,2,91.7445894772,8.0603379761,6.6599736463,7.5800243702,7.9174943832
"16","BEL","Belgium",2016,17,9.2,73.9,37.59021,37.503956,24.905834,98.1,5.98,1.5,91.7445894772,8.0603379761,6.6599736463,7.5800243702,7.9174943832
"17","BEL","Belgium",2017,16.9,8.6,74.5,36.540157,40.257053,23.202787,92,5.47,1.7,90.6998144251,8.764922919,6.6599736463,7.5800243702,7.9174943832
"18","BEL","Belgium",2018,16.4,8.7,74.9,37.588238,40.638546,21.773218,79.4,4.87,1.7,90.6998144251,8.764922919,6.6599736463,7.5800243702,7.9174943832
"19","BEL","Belgium",2019,16.9,9.1,74,38.016045,40.67009,21.313864,75.4,5,1.3,90.6998144251,8.764922919,5.3272416276,7.5479577814,7.9374506945
"20","BEL","Belgium",2020,16.8,7.8,75.4,37.338799,42.442284,20.218918,57,4,1.3,90.8298792149,8.5784272563,5.3272416276,7.5479577814,7.9374506945
"21","BEL","Belgium",2021,15.7,8,76.3,36.653629,44.873066,18.473303,57.3,5,1.4,90.8298792149,8.5784272563,5.3272416276,7.5479577814,7.9374506945
"22","BEL","Belgium",2022,16.7,8,75.3,36.669788,45.769352,17.56086,66.7,5,1.6,90.8298792149,8.5784272563,5.3272416276,7.5772294915,7.9374506945
"23","BEL","Belgium",2023,16.1,8.4,75.4,37.35544968,44.80752182,17.8370266,69,4.3,1.4,90.2144180111,9.5595297424,5.3272416276,7.681908677,7.9374506945
"24","CAN","Canada",2010,9,2.9,88.1,37.95142,50.311695,11.736887,272,8,1.6,94.2493471019,5.4735667501,13.42,8,7.9
"25","CAN","Canada",2011,9,2.8,88.2,37.5986366271973,50.9916839599609,11.4096822738647,240.1,7,1.8,93.4180978701,6.4590620869,13.42,8,7.9
"26","CAN","Canada",2012,8.5,2.7,88.8,36.7019577026367,52.1757545471191,11.1222867965698,224.9,8,1.6,93.4180978701,6.4590620869,13.42,8,7.9
"27","CAN","Canada",2013,8.5,2.8,88.7,36.6339225769043,52.8339538574219,10.5321216583252,206.7,7,1.5,93.4180978701,6.4590620869,13.42,8,7.9
"28","CAN","Canada",2014,8.8,3.1,88.1,36.4988250732422,53.4098625183105,10.0913124084473,208.9,6,1.5,92.570264414,7.2782276515,13.42,8,7.9
"29","CAN","Canada",2015,8,3.1,89,35.3686408996582,54.9792327880859,9.65212917327881,220.7,6,1.7,92.570264414,7.2782276515,13.42,8.1,7.9
"30","CAN","Canada",2016,8.5,3.1,88.4,34.5337448120117,55.9659957885742,9.50025749206543,218.9,6,1.7,92.570264414,7.2782276515,13.42,8.1,7.9
"31","CAN","Canada",2017,8.3,3.2,88.5,34.6950263977051,56.3423500061035,8.96262550354004,232.9,6,1.8,92.3938938717,7.2483153403,13.42,8.1,7.7
"32","CAN","Canada",2018,8.5,2.9,88.6,34.0066833496094,57.5587272644043,8.43458843231201,232.3,6,1.8,92.3938938717,7.2483153403,13.42,8.1,7.7
"33","CAN","Canada",2019,8.3,2.8,88.8,32.7667465209961,59.0202560424805,8.21299648284912,231.4,6,1.8,92.3938938717,7.2483153403,13.42,8.1,7.7
"34","CAN","Canada",2020,8.2,2.8,89,32.5883979797363,59.8430671691895,7.5685338973999,205.5,5,2,92.7134402267,7.128981347,13.42,8,7.7
"35","CHE","Switzerland",2014,17.2,4.3,78.5,48.795288,38.428497,12.776213,80.1,3.6,0.5,93.994890079,5.831501926,4.0682019164,8.018,8.658
"36","CHE","Switzerland",2015,16.2,4.1,79.7,47.512451,39.782719,12.704829,75.9,4.01,0.7,93.994890079,5.831501926,4.0682019164,7.949,8.537
"37","CHE","Switzerland",2016,17.9,4.5,77.6,46.200405,41.235474,12.564119,71.9,3.52,0.5,93.994890079,5.831501926,4.0682019164,7.953,8.55
"38","CHE","Switzerland",2017,15.7,4.1,80.2,45.213757,42.594601,12.191644,78.3,3.66,0.5,93.606401065,5.6748743539,4.0682019164,7.961845982,8.636507544
"39","CHE","Switzerland",2018,15.1,4.3,80.7,44.65678,43.744415,11.598805,89.3,3.93,0.6,93.606401065,5.6748743539,4.0682019164,7.963366268,8.6240742552
"40","CZE","Czechia",2014,27.7,11.6,60.6,71.679962,21.51013,6.8099089,90,7.71,1.5,88.957207954,9.1348514001,5.4457328815,7.3519776594,8.3111850232
"41","CZE","Czechia",2015,27.7,11.1,61.2,70.972054,22.186741,6.841207,65.4,8.05,1.5,88.957207954,9.1348514001,5.4457328815,7.3519776594,8.3111850232
"42","CZE","Czechia",2016,27.9,11.8,60.3,70.455254,22.971544,6.5732007,50.7,7.02,1.3,88.957207954,9.1348514001,5.4457328815,7.3519776594,8.3111850232
"43","CZE","Czechia",2017,27.1,11.1,61.8,69.86615,23.927534,6.2063141,38.1,6.74,1.4,90.4900549683,8.4022661214,5.4457328815,7.3519776594,8.3111850232
"44","CZE","Czechia",2018,27.3,10.7,62,69.598511,24.262077,6.1394086,32.8,7.18,1.1,90.4900549683,8.4022661214,5.4457328815,7.3519776594,8.3111850232
"45","CZE","Czechia",2020,27.3,9.3,63.4,69.199448,24.853664,5.9468889,27.4,6,0.5,94.1591853132,4.6759424516,5.1834569705,7.2652421866,8.1676965701
"46","CZE","Czechia",2021,23.7,8.6,67.7,67.882744,26.537458,5.5797949,21.1,6,0.4,94.1591853132,4.6759424516,5.1834569705,7.2652421866,8.1676965701
"47","CZE","Czechia",2022,23.4,8.8,67.9,67.776718,26.668707,5.5545783,23,6,0.7,94.1591853132,4.6759424516,5.1834569705,7.3848566569,8.1676965701
"48","CZE","Czechia",2023,24.4,9.2,66.4,67.13140869,26.97192955,5.896662712,21.5,6,1.5,92.9841915738,6.4853973459,5.1834569705,7.3781102847,8.1676965701
"49","DEU","Germany",2014,26.8,8,65.2,59.845531,27.057884,13.096583,79.4,4.79,0.8,91.9690294399,7.6519005133,6.9532024031,7.3581298635,7.8822743766
"50","DEU","Germany",2015,27.1,8.3,64.5,59.153015,27.638235,13.208749,76.1,4.82,0.8,91.9690294399,7.6519005133,6.9532024031,7.3581298635,7.8822743766
"51","DEU","Germany",2016,26.5,8.3,65.2,58.184765,28.291723,13.523512,72.4,4.53,0.9,91.9690294399,7.6519005133,6.9532024031,7.3581298635,7.8822743766
"52","DEU","Germany",2017,26.1,8.4,65.4,57.93824,28.58337,13.478389,65.5,4.39,0.9,89.0081126555,9.980209296,6.9532024031,7.3581298635,7.8822743766
"53","DEU","Germany",2018,26.1,8.4,65.5,57.610046,29.065134,13.324821,60.8,4.6,0.8,89.0081126555,9.980209296,6.9532024031,7.3581298635,7.8822743766
"54","DNK","Denmark",2010,21.1,7.9,71,43.707432,33.002644,23.289925,15.5,5,0.9,95.2001700882,4.3926407792,5.2336854648,8.0107682102,8.4957074944
